,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
250,tBodyGyroMag,arCoeff()3,,tBodyGyroMag-arCoeff()3,0.00022049538192653813,0.0,0.0004834048213245107,0.000190230352596205,2.54472235906851e-06,0.00035051831703553576,0.00017475082321360557,2.592770730293303e-05
251,tBodyGyroMag,arCoeff()4,,tBodyGyroMag-arCoeff()4,0.00037045712667306747,0.0,0.00025707481042710047,0.00028353041454798057,0.0,4.075440751513897e-05,9.121824126814578e-05,0.00011707816038106759
252,tBodyGyroJerkMag,mean(),,tBodyGyroJerkMag-mean(),0.0024622817290752136,0.019843432566567242,0.00026855842255207684,0.00012098431103013357,0.0,0.003927021677588517,0.0008882449517394952,0.0004905519702934373
253,tBodyGyroJerkMag,std(),,tBodyGyroJerkMag-std(),0.00011806743453859997,0.0,0.0001799439387346488,0.00026526076843527555,5.5093342409750526e-05,0.003274237709083036,0.0027270075903078127,0.0008036767140266765
254,tBodyGyroJerkMag,mad(),,tBodyGyroJerkMag-mad(),0.00016416250041165624,0.0,0.0001637561711251751,0.00033658859030485537,2.6383567231176466e-05,0.00035239269729721913,0.0024225626754504725,0.00041786106480542714
255,tBodyGyroJerkMag,max(),,tBodyGyroJerkMag-max(),0.00023565231596117512,0.0,0.0004728881480951765,0.0003550052751688101,0.0,0.0001277000274352477,0.0005755951650744088,0.00023289290959943088
256,tBodyGyroJerkMag,min(),,tBodyGyroJerkMag-min(),0.00013271891887669515,2.9549223579074397e-05,0.00029717576657769,0.00016635703177433656,0.0,5.240614982966201e-05,5.783488782709524e-05,0.00030279761904096513
257,tBodyGyroJerkMag,sma(),,tBodyGyroJerkMag-sma(),0.0006383653378823433,0.0,0.00034398029641010357,0.0026122201614028843,0.001871042669229793,0.012422525643741628,0.0006516222929680546,0.00010804780979216684
258,tBodyGyroJerkMag,energy(),,tBodyGyroJerkMag-energy(),0.00037239171674626517,0.0,0.00019213322530569905,0.002064380299597961,0.0,0.005882059334726155,0.003030216152929333,0.0001700780470732894
259,tBodyGyroJerkMag,iqr(),,tBodyGyroJerkMag-iqr(),0.0002290686468992314,0.0,0.00027073591786272693,0.0003100467831366862,2.299151056905664e-05,0.0030282569852293135,0.0026325742337304685,0.00019577922126090216
260,tBodyGyroJerkMag,entropy(),,tBodyGyroJerkMag-entropy(),0.0001240645518467045,0.0,0.0005562046224715716,0.00027129491197371437,4.54704508083694e-05,0.003485102481447862,0.0002809406595778604,0.0
261,tBodyGyroJerkMag,arCoeff()1,,tBodyGyroJerkMag-arCoeff()1,0.000198134616368012,0.0,0.00043896433644067916,4.939914716243195e-05,2.7279377682994523e-05,0.00010752317926719258,0.0002503333973681485,0.00041693204789173134
262,tBodyGyroJerkMag,arCoeff()2,,tBodyGyroJerkMag-arCoeff()2,0.0002883027346214138,0.0,0.00011726025334919053,0.0002705038908553966,7.348717806857334e-05,6.456403945525879e-05,0.0003033163840747845,0.00027588821855833995
263,tBodyGyroJerkMag,arCoeff()3,,tBodyGyroJerkMag-arCoeff()3,6.537770593882668e-05,0.0,0.00031772158145278797,6.947622870007423e-05,4.472228033159057e-07,3.56358032280015e-05,9.36155976484483e-05,0.00013666340948070702
264,tBodyGyroJerkMag,arCoeff()4,,tBodyGyroJerkMag-arCoeff()4,0.0002522227501995385,0.0,0.0005131505296354009,0.00018482797268698316,3.8107681419783344e-05,0.0001254981942453218,0.00023448793348232767,0.00011148043337523789
265,fBodyAcc,mean(),X,fBodyAcc-mean()-X,0.0034028896217673586,0.009989493327009455,0.0009889248395877678,0.0009792453610520827,5.7702025344256645e-05,0.004368174683202888,0.00035552669494555574,0.009269326851670083
266,fBodyAcc,mean(),Y,fBodyAcc-mean()-Y,0.00012442266983191946,0.0,0.0003799238932117016,0.0004293345298303085,0.0002623287076264054,1.5804906288406778e-05,2.2133345960356557e-05,0.0003540501150177466
267,fBodyAcc,mean(),Z,fBodyAcc-mean()-Z,0.000292637833019711,0.0,0.0023287223430193483,0.0009881843202407855,2.8095938711353665e-05,4.450697494750439e-05,0.0003192128832841365,0.0002800394018311336
268,fBodyAcc,std(),X,fBodyAcc-std()-X,0.0014325607514082735,0.0,0.00895328021811646,0.0008039418405586523,0.00017721415374041938,0.008011933650040189,0.005828324403770332,0.018750991574776152
269,fBodyAcc,std(),Y,fBodyAcc-std()-Y,0.00044803819963934027,3.9564121893604696e-05,0.005314055050553963,0.0004551936458386347,6.983299667867437e-05,0.000169422247440518,0.00013430049512088338,0.0009080638609284475
270,fBodyAcc,std(),Z,fBodyAcc-std()-Z,0.00040444511874809,0.0,0.00026403609436575733,0.0009845070909197038,0.0,0.0004433054946945656,0.005203808943954764,0.0005384545051617845
271,fBodyAcc,mad(),X,fBodyAcc-mad()-X,0.002362056045950851,0.019951757208930988,0.007084622010155107,0.0004222512584239949,0.00022387628654816158,0.002445042271830893,0.0036138218811755645,0.038203033957116356
272,fBodyAcc,mad(),Y,fBodyAcc-mad()-Y,0.00047499621325778734,2.945586796290256e-05,0.0006941615078322926,0.00018139686282845737,0.00035869494170831946,7.360541549934912e-05,0.0003024101752632317,0.00037771076518433014
273,fBodyAcc,mad(),Z,fBodyAcc-mad()-Z,0.0004068655957629054,0.0,0.002150255097963297,0.0019600079453577315,0.0,0.00018914838706409108,0.0001834454904183308,0.000375920332679282
274,fBodyAcc,max(),X,fBodyAcc-max()-X,0.002763667749616833,0.0,0.012097643371083868,0.003822679473007036,0.0018620725711774495,0.001922560976320876,0.01673692428998465,0.0010099179050579697
